,tsne_0,tsne_1,sampledornot
279,-35.258694,41.35699,Not sampled
280,-62.794834,46.637535,Not sampled
281,-36.713024,37.68053,Not sampled
282,-31.634712,-50.492195,Not sampled
283,-61.295483,41.65289,Not sampled
284,-25.136332,1.5520099,Not sampled
285,-37.610466,-6.1022797,Not sampled
286,-10.019547,-16.15082,Not sampled
287,21.772278,-7.7065573,sampled
288,-62.79465,46.63717,Not sampled
289,50.8038,1.7501066,sampled
290,-19.7325,-7.062217,Not sampled
291,-5.2732024,38.6492,Not sampled
292,21.368351,17.407555,sampled
293,-37.610966,-6.1023088,Not sampled
294,-10.019547,-16.150835,Not sampled
295,-25.843935,1.0395569,Not sampled
296,-62.801098,46.64037,Not sampled
297,-13.135744,-2.0265207,Not sampled
298,-19.732454,-7.062213,Not sampled
299,21.368397,17.407564,sampled
300,-10.019567,-16.150833,Not sampled
301,-25.843935,1.0395569,Not sampled
302,-62.794834,46.637535,Not sampled
303,-14.143308,-2.8237393,Not sampled
304,-19.732515,-7.0622,Not sampled
305,21.368734,17.406065,sampled
306,-35.25818,41.356087,Not sampled
307,-62.793407,46.63777,Not sampled
308,-36.71767,37.68611,Not sampled
309,-31.63467,-50.492226,Not sampled
310,-61.29527,41.65304,Not sampled
311,-62.79465,46.63717,Not sampled
312,50.45011,0.89546746,sampled
313,-19.732454,-7.062213,Not sampled
314,-5.2732024,38.649654,Not sampled
315,21.368345,17.407564,sampled
316,-36.717678,37.686047,Not sampled
317,-19.732454,-7.062213,Not sampled
318,-61.295097,41.65335,Not sampled
319,-19.732454,-7.062213,Not sampled
320,-5.2867413,38.654015,Not sampled
321,21.368345,17.407568,sampled
322,-61.295097,41.65335,Not sampled
323,-34.70214,67.012794,Not sampled
324,-40.43506,67.58504,Not sampled
325,67.26011,0.26055434,sampled
326,-10.997123,38.829426,sampled
327,-34.205544,69.83765,Not sampled
328,-36.043156,67.77615,Not sampled
329,-44.91082,18.32313,sampled
330,-33.498444,67.17091,Not sampled
331,-5.902754,21.199842,Not sampled
332,-8.428632,62.37486,Not sampled
333,-38.169388,69.43452,Not sampled
334,-4.791132,-34.686947,sampled
335,-37.91923,70.81912,Not sampled
336,-36.04298,67.776825,Not sampled
337,16.250938,22.900938,Not sampled
338,-44.383167,16.819757,sampled
339,-33.168346,64.89729,Not sampled
340,67.26011,0.26055434,sampled
341,9.09972,21.152208,Not sampled
342,-36.951782,66.23709,Not sampled
343,-30.82005,65.509056,Not sampled
344,-36.788292,63.604454,Not sampled
345,-40.41132,67.63788,Not sampled
346,-47.71127,-2.9174678,Not sampled
347,-34.512417,63.68063,Not sampled
348,40.51647,-12.505556,sampled
349,41.245457,-12.200287,sampled
350,-43.316128,-4.6476035,Not sampled
351,-66.91771,-1.6662965,sampled
352,-11.7047205,35.724487,sampled
353,-34.205036,69.83768,Not sampled
354,3.9057682,76.00361,Not sampled
355,-35.581333,67.065445,Not sampled
356,20.746975,55.75916,sampled
357,13.518586,70.79365,Not sampled
358,-50.27384,-40.83124,Not sampled
359,-10.642662,68.58877,Not sampled
360,17.261835,88.657814,Not sampled
361,-3.3164217,88.76246,Not sampled
362,6.071802,49.426254,Not sampled
363,8.361708,52.76292,Not sampled
364,7.066501,51.757725,Not sampled
365,-44.527588,17.7671,sampled
366,5.583966,52.00998,Not sampled
367,-1.7242335,61.19773,Not sampled
368,-45.61034,-41.205025,Not sampled
369,-5.925963,21.734127,Not sampled
370,-6.9037137,61.886086,Not sampled
371,5.5824,52.00491,Not sampled
372,17.485573,60.096966,Not sampled
373,8.093557,50.29791,Not sampled
374,6.7415304,54.23545,Not sampled
375,16.008413,23.578146,Not sampled
376,-1.7511772,61.217464,Not sampled
377,-42.651684,-39.60728,Not sampled
378,8.36456,52.763878,Not sampled
379,9.343063,21.889215,Not sampled
380,8.093918,50.30365,Not sampled
381,-30.176071,65.288574,Not sampled
382,9.565337,30.052464,sampled
383,5.5838985,52.00977,Not sampled
384,-48.32861,-3.86765,Not sampled
385,36.88288,-7.198787,sampled
386,6.7409062,54.234306,Not sampled
387,6.740988,54.23541,Not sampled
388,-43.541077,-5.922763,Not sampled
389,6.0713806,49.428604,Not sampled
390,4.3553042,50.645905,Not sampled
391,-44.80812,18.28227,sampled
392,3.2789667,74.79821,Not sampled
393,-2.5777452,5.7432995,sampled
394,9.636336,50.53028,Not sampled
395,12.10895,70.59911,Not sampled
396,-48.050583,-38.258472,Not sampled
397,-6.2778234,69.88671,Not sampled
398,16.655138,87.28694,Not sampled
399,-3.165074,86.87787,Not sampled
400,67.4803,-0.86572546,sampled
401,-2.0859747,5.562685,sampled
402,-44.66661,17.665758,sampled
403,-5.6750827,-34.9194,sampled
404,-43.782623,16.148417,sampled
405,-5.902754,21.199776,Not sampled
406,-8.428632,62.37486,Not sampled
407,-5.7640476,-34.954872,sampled
408,17.758297,60.008743,Not sampled
409,21.47779,-8.00158,sampled
410,40.31405,-12.181207,sampled
411,16.251036,22.900269,Not sampled
412,-44.97256,17.798615,sampled
413,68.99278,0.5187155,sampled
414,9.099727,21.152208,Not sampled
415,21.970598,-6.951782,sampled
416,-2.1508641,6.2944775,sampled
417,-47.711197,-2.918107,Not sampled
418,-44.647247,42.709026,Not sampled
419,40.483818,-12.404612,sampled
420,40.809742,-11.989726,sampled
421,-43.31369,-4.646425,Not sampled
422,-66.835,-1.2087888,sampled
423,-11.700475,35.728687,sampled
424,-44.542625,16.878748,sampled
425,3.9057682,76.00361,Not sampled
426,-2.2648852,6.2392306,sampled
427,20.829058,56.44588,sampled
428,13.518587,70.793655,Not sampled
429,-10.551842,67.94948,Not sampled
430,17.261833,88.65779,Not sampled
431,-3.553616,88.65626,Not sampled
432,-10.997131,38.83002,sampled
433,-34.20533,69.83688,Not sampled
434,-36.043156,67.77615,Not sampled
435,-44.674294,18.65726,sampled
436,-5.902754,21.199781,Not sampled
437,-8.428569,62.37352,Not sampled
438,-38.169243,69.433495,Not sampled
439,17.758308,60.008972,Not sampled
440,-37.920155,70.821724,Not sampled
441,-36.04298,67.776825,Not sampled
442,16.251036,22.900269,Not sampled
443,-44.79225,18.313227,sampled
444,68.99278,0.5187155,sampled
445,9.099734,21.152277,Not sampled
446,-36.951782,66.23709,Not sampled
447,-30.82005,65.509056,Not sampled
448,-40.411037,67.637856,Not sampled
449,-47.711678,-2.9199383,Not sampled
450,-34.51221,63.680206,Not sampled
451,40.726612,-11.8027115,sampled
452,40.2684,-12.118661,sampled
453,-43.30903,-4.6492434,Not sampled
454,-66.90606,-1.4519984,sampled
455,-11.701107,35.728687,sampled
456,-34.20533,69.83688,Not sampled
457,3.9057894,76.003654,Not sampled
458,-35.581413,67.06553,Not sampled
459,20.746975,55.75916,sampled
460,13.518587,70.793655,Not sampled
461,-10.551842,67.94948,Not sampled
462,17.261875,88.65796,Not sampled
463,-3.6055691,88.762184,Not sampled
464,-43.440086,16.943071,sampled
465,-5.34728,-34.72348,sampled
466,-44.120068,17.136675,sampled
467,-44.086872,-40.32993,Not sampled
468,-5.902754,21.199842,Not sampled
469,-8.428632,62.37486,Not sampled
470,-5.6697035,-34.908825,sampled
471,17.758297,60.009167,Not sampled
472,21.777006,-6.4960365,sampled
473,40.48864,-12.403289,sampled
474,16.250938,22.900938,Not sampled
475,-44.446743,17.619553,sampled
476,-42.647587,-39.606785,Not sampled
477,68.76576,0.11793177,sampled
478,9.099734,21.152277,Not sampled
479,21.950136,-7.108285,sampled
480,-30.173973,65.286545,Not sampled
481,-41.76926,51.68421,Not sampled
482,-5.066144,-34.6793,sampled
483,-47.711277,-2.917468,Not sampled
484,-44.711803,42.523987,Not sampled
485,41.02122,-12.203511,sampled
486,41.021225,-12.203508,sampled
487,-43.32191,-4.6361475,Not sampled
488,-66.8289,-0.7741885,sampled
489,-11.696827,35.73083,sampled
490,-43.410423,16.640293,sampled
491,3.905768,76.00362,Not sampled
492,-2.5618827,5.764112,sampled
493,20.746975,55.75916,sampled
494,13.518586,70.79365,Not sampled
495,-47.597775,-38.60828,Not sampled
496,-9.7414055,68.07268,Not sampled
497,17.261833,88.65779,Not sampled
498,-3.3164217,88.76246,Not sampled
499,5.5841804,52.001286,Not sampled
500,-1.7406489,61.20722,Not sampled
501,-45.610252,-41.20501,Not sampled
502,-5.925962,21.734148,Not sampled
503,-6.903707,61.883686,Not sampled
504,5.584181,52.001293,Not sampled
505,17.485579,60.097347,Not sampled
506,8.09358,50.301685,Not sampled
507,6.7408824,54.235954,Not sampled
508,16.008432,23.57818,Not sampled
509,-1.7110385,61.18946,Not sampled
510,-40.599422,-42.22333,Not sampled
511,8.3610935,52.764698,Not sampled
512,9.343016,21.889246,Not sampled
513,8.09356,50.30269,Not sampled
514,-31.413523,67.511925,Not sampled
515,-41.76926,51.68421,Not sampled
516,5.5842214,52.001465,Not sampled
517,-48.32792,-3.8676121,Not sampled
518,-44.94176,42.273502,Not sampled
519,6.737755,54.23503,Not sampled
520,6.7376633,54.23727,Not sampled
521,-43.540535,-5.9226394,Not sampled
522,6.0720835,49.42868,Not sampled
